,Log File,state_accept_epoch,state_running_time,state_running_epoch,waiting_time_to_run,spark_driver_start_time,spark_driver_start_time_epoch,spark_driver_memory_MB,spark_executor_memory_MB,memoryStore_capacity_MB,job_result,job_successfully_completed_at_time,job_successfully_completed_at_time_epoch,job_failed_at_time,job_failed_at_time_epoch,waiting_time_to_accept,successful_job_completion_time,failed_job_completion_time
0,application_1513303661803_25646_asrd.cp.big.data.services.team.log,,,,,,,,,1983.0,,,,,,,,
1,application_1513303661803_23926_asrd.cp.big.data.services.team.log,1513792320.0, 17/12/20 17:52:06,1513792326,6, 17/12/20 17:51:57,1513792317,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 17:58:04,1513792684,,,3,358,
2,application_1513303661803_21767_asrd.cp.big.data.services.team.log,,,,,,,,,143.6,,,,,,,,
3,application_1513303661803_24558_asrd.cp.big.data.services.team.log,1513814496.0, 17/12/21 00:01:41,1513814501,5, 17/12/21 00:01:33,1513814493,8192.0,15360.0,5632.0, Job completed successfully, 17/12/21 00:21:10,1513815670,,,3,1169,
4,application_1513303661803_24282_asrd.cp.big.data.services.team.log,1513796697.0, 17/12/20 19:05:06,1513796706,9, 17/12/20 19:04:52,1513796692,12288.0,16384.0,8601.6, Job completed successfully, 17/12/20 19:14:03,1513797243,,,5,537,
5,application_1513303661803_21050_asrd.cp.big.data.services.team.log,1513730321.0, 17/12/20 00:38:46,1513730326,5, 17/12/20 00:38:37,1513730317,2048.0,10240.0,1247.6, Job completed successfully, 17/12/20 00:39:39,1513730379,,,4,53,
6,application_1513303661803_19757_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
7,application_1513303661803_23378_asrd.cp.big.data.services.team.log,1513786280.0, 17/12/20 16:11:25,1513786285,5, 17/12/20 16:11:17,1513786277,12288.0,10240.0,8601.6, Job completed successfully, 17/12/20 16:12:42,1513786362,,,3,77,
8,application_1513303661803_23553_asrd.cp.big.data.services.team.log,1513787826.0, 17/12/20 16:37:11,1513787831,5, 17/12/20 16:37:03,1513787823,12288.0,6144.0,8601.6, Job completed successfully, 17/12/20 16:44:34,1513788274,,,3,443,
9,application_1513303661803_25231_asrd.cp.big.data.services.team.log,,,,,,,,,4198.4,,,,,,,,
10,application_1513303661803_23835_asrd.cp.big.data.services.team.log,,,,,,,,,7168.0,,,,,,,,
11,application_1513303661803_21508_asrd.cp.big.data.services.team.log,,,,,,,,,511.5,,,,,,,,
12,application_1513303661803_22336_asrd.cp.big.data.services.team.log,1513752875.0, 17/12/20 06:54:40,1513752880,5, 17/12/20 06:54:31,1513752871,15360.0,10240.0,10854.4, Job completed successfully, 17/12/20 07:00:12,1513753212,,,4,332,
13,application_1513303661803_26743_asrd.cp.big.data.services.team.log,1513901342.0, 17/12/22 00:09:39,1513901379,37, 17/12/22 00:08:42,1513901322,12288.0,6144.0,8601.6, Job completed successfully, 17/12/22 00:09:57,1513901397,,,20,18,
14,application_1513303661803_28267_asrd.cp.big.data.services.team.log,,,,,,,,,,,,,,,,,
15,application_1513303661803_24239_asrd.cp.big.data.services.team.log,,,,,,,,,,,,,,,,,
