Log File,state_accept_epoch,state_running_time,state_running_epoch,waiting_time_to_run,spark_driver_start_time,spark_driver_start_time_epoch,spark_driver_memory,spark_executor_memory,memoryStore_capacity,job_result,job_successfully_completed_at_time,job_successfully_completed_at_time_epoch,job_failed_at_time,job_failed_at_time_epoch,waiting_time_to_accept,successful_job_completion_time,failed_job_completion_time
application_1513303661803_25646_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 1983.0MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23926_asrd.cp.big.data.services.team.log,1513792320, 17/12/20 17:52:06,1513792326,6, 17/12/20 17:51:57,1513792317, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 17:58:04,1513792684, NA, NA,3,358, NA
application_1513303661803_21767_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24558_asrd.cp.big.data.services.team.log,1513814496, 17/12/21 00:01:41,1513814501,5, 17/12/21 00:01:33,1513814493, 8G, 15G, 5.5GB, Job completed successfully, 17/12/21 00:21:10,1513815670, NA, NA,3,1169, NA
application_1513303661803_24282_asrd.cp.big.data.services.team.log,1513796697, 17/12/20 19:05:06,1513796706,9, 17/12/20 19:04:52,1513796692, 12G, 16G, 8.4GB, Job completed successfully, 17/12/20 19:14:03,1513797243, NA, NA,5,537, NA
application_1513303661803_21050_asrd.cp.big.data.services.team.log,1513730321, 17/12/20 00:38:46,1513730326,5, 17/12/20 00:38:37,1513730317, 2G, 10G, 1247.6MB, Job completed successfully, 17/12/20 00:39:39,1513730379, NA, NA,4,53, NA
application_1513303661803_19757_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23378_asrd.cp.big.data.services.team.log,1513786280, 17/12/20 16:11:25,1513786285,5, 17/12/20 16:11:17,1513786277, 12g, 10G, 8.4GB, Job completed successfully, 17/12/20 16:12:42,1513786362, NA, NA,3,77, NA
application_1513303661803_23553_asrd.cp.big.data.services.team.log,1513787826, 17/12/20 16:37:11,1513787831,5, 17/12/20 16:37:03,1513787823, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 16:44:34,1513788274, NA, NA,3,443, NA
application_1513303661803_25231_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23835_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21508_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22336_asrd.cp.big.data.services.team.log,1513752875, 17/12/20 06:54:40,1513752880,5, 17/12/20 06:54:31,1513752871, 15G, 10G, 10.6GB, Job completed successfully, 17/12/20 07:00:12,1513753212, NA, NA,4,332, NA
application_1513303661803_26743_asrd.cp.big.data.services.team.log,1513901342, 17/12/22 00:09:39,1513901379,37, 17/12/22 00:08:42,1513901322, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/22 00:09:57,1513901397, NA, NA,20,18, NA
application_1513303661803_28267_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24239_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20493_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20007_asrd.cp.big.data.services.team.log,1513698756, 17/12/19 15:52:41,1513698761,5, 17/12/19 15:52:33,1513698753, 12g, 10G, 8.4GB, Job completed successfully, 17/12/19 15:53:34,1513698814, NA, NA,3,53, NA
application_1513303661803_20778_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22727_asrd.cp.big.data.services.team.log,1513769226, 17/12/20 11:27:12,1513769232,6, 17/12/20 11:27:02,1513769222, 12g, 10G, 8.4GB, Job completed successfully, 17/12/20 13:18:18,1513775898, NA, NA,4,6666, NA
application_1513303661803_19452_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 5.5GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24689_asrd.cp.big.data.services.team.log,1513815406, 17/12/21 00:16:57,1513815417,11, 17/12/21 00:16:41,1513815401, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/21 00:18:48,1513815528, NA, NA,5,111, NA
application_1513303661803_19784_asrd.cp.big.data.services.team.log,1513692972, 17/12/19 14:17:14,1513693034,62, 17/12/19 14:15:58,1513692958, 20G, 10G, 14.2GB, Job completed successfully, 17/12/19 14:43:25,1513694605, NA, NA,14,1571, NA
application_1513303661803_22577_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18724_asrd.cp.big.data.services.team.log,1513646824, 17/12/19 01:30:47,1513647047,223, 17/12/19 01:26:59,1513646819, 20G, 20G, 14.2GB, Job completed successfully, 17/12/19 02:16:24,1513649784, NA, NA,5,2737, NA
application_1513303661803_26077_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21034_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19685_asrd.cp.big.data.services.team.log,1513689087, 17/12/19 13:11:32,1513689092,5, 17/12/19 13:11:23,1513689083, 12G, 10G, 8.4GB, Job failed, NA, NA, 17/12/19 13:11:56,1513689116,4, NA,24
application_1513303661803_22543_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23724_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22190_asrd.cp.big.data.services.team.log,1513750728, 17/12/20 06:18:53,1513750733,5, 17/12/20 06:18:46,1513750726, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 06:24:48,1513751088, NA, NA,2,355, NA
application_1513303661803_25727_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23529_asrd.cp.big.data.services.team.log,1513787414, 17/12/20 16:30:20,1513787420,6, 17/12/20 16:30:11,1513787411, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 16:36:27,1513787787, NA, NA,3,367, NA
application_1513303661803_24873_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24029_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20359_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24056_asrd.cp.big.data.services.team.log,1513793699, 17/12/20 18:15:05,1513793705,6, 17/12/20 18:14:56,1513793696, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 18:21:13,1513794073, NA, NA,3,368, NA
application_1513303661803_18992_asrd.cp.big.data.services.team.log,1513651161, 17/12/19 02:39:27,1513651167,6, 17/12/19 02:39:17,1513651157, 12g, 10G, 8.4GB, Job completed successfully, 17/12/19 02:58:37,1513652317, NA, NA,4,1150, NA
application_1513303661803_22851_asrd.cp.big.data.services.team.log,1513778467, 17/12/20 14:01:12,1513778472,5, 17/12/20 14:00:58,1513778458, 512M, 512M, 143.6MB, Job completed successfully, 17/12/20 14:01:41,1513778501, NA, NA,9,29, NA
application_1513303661803_24077_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_24037_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22070_asrd.cp.big.data.services.team.log,1513749511, 17/12/20 05:58:36,1513749516,5, 17/12/20 05:58:27,1513749507, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 06:04:29,1513749869, NA, NA,4,353, NA
application_1513303661803_18982_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_22181_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19045_asrd.cp.big.data.services.team.log,1513652536, 17/12/19 03:02:20,1513652540,4, 17/12/19 03:02:12,1513652532, 20G, 10G, 14.2GB, Job failed, NA, NA, 17/12/19 03:02:28,1513652548,4, NA,8
application_1513303661803_25535_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_25698_asrd.cp.big.data.services.team.log,1513839980, 17/12/21 07:06:25,1513839985,5, 17/12/21 07:06:16,1513839976, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/21 07:06:45,1513840005, NA, NA,4,20, NA
application_1513303661803_19731_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21371_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18601_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_18883_asrd.cp.big.data.services.team.log,1513649811, 17/12/19 02:16:59,1513649819,8, 17/12/19 02:16:45,1513649805, 15G, 12G, 10.6GB, Job completed successfully, 17/12/19 03:17:05,1513653425, NA, NA,6,3606, NA
application_1513303661803_21441_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20082_asrd.cp.big.data.services.team.log,1513700684, 17/12/19 16:24:49,1513700689,5, 17/12/19 16:24:41,1513700681, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/19 16:25:32,1513700732, NA, NA,3,43, NA
application_1513303661803_19574_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_20166_asrd.cp.big.data.services.team.log,1513702790, 17/12/19 16:59:55,1513702795,5, 17/12/19 16:59:46,1513702786, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/19 17:14:40,1513703680, NA, NA,4,885, NA
application_1513303661803_23605_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23332_asrd.cp.big.data.services.team.log,1513786032, 17/12/20 16:07:22,1513786042,10, 17/12/20 16:07:08,1513786028, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 16:13:47,1513786427, NA, NA,4,385, NA
application_1513303661803_25796_asrd.cp.big.data.services.team.log,1513847058, 17/12/21 09:04:23,1513847063,5, 17/12/21 09:04:13,1513847053, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/21 09:04:44,1513847084, NA, NA,5,21, NA
application_1513303661803_23991_asrd.cp.big.data.services.team.log,1513792895, 17/12/20 18:01:40,1513792900,5, 17/12/20 18:01:33,1513792893, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/20 18:07:46,1513793266, NA, NA,2,366, NA
application_1513303661803_19578_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23496_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_23443_asrd.cp.big.data.services.team.log,1513786570, 17/12/20 16:16:15,1513786575,5, 17/12/20 16:16:07,1513786567, 12g, 10G, 8.4GB, Job completed successfully, 17/12/20 16:17:17,1513786637, NA, NA,3,62, NA
application_1513303661803_23765_asrd.cp.big.data.services.team.log,1513790162, 17/12/20 17:16:07,1513790167,5, 17/12/20 17:15:57,1513790157, 15G, 8G, 10.6GB, Job completed successfully, 17/12/20 17:19:27,1513790367, NA, NA,5,200, NA
application_1513303661803_20785_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_21822_asrd.cp.big.data.services.team.log,1513744114, 17/12/20 04:28:40,1513744120,6, 17/12/20 04:28:30,1513744110, 20G, 10G, 14.2GB, Job completed successfully, 17/12/20 04:34:20,1513744460, NA, NA,4,340, NA
application_1513303661803_21199_asrd.cp.big.data.services.team.log,1513731716, 17/12/20 01:02:01,1513731721,5, 17/12/20 01:01:52,1513731712, 512M, 512M, 143.6MB, Job completed successfully, 17/12/20 01:02:29,1513731749, NA, NA,4,28, NA
application_1513303661803_25212_asrd.cp.big.data.services.team.log,1513822709, 17/12/21 02:18:40,1513822720,11, 17/12/21 02:18:25,1513822705, 12g, 6144M, 8.4GB, Job completed successfully, 17/12/21 02:25:14,1513823114, NA, NA,4,394, NA
application_1513303661803_20258_asrd.cp.big.data.services.team.log,1513704747, 17/12/19 17:32:32,1513704752,5, 17/12/19 17:32:23,1513704743, 2G, 10G, 1247.6MB, Job completed successfully, 17/12/19 17:33:39,1513704819, NA, NA,4,67, NA
application_1513303661803_21812_asrd.cp.big.data.services.team.log,1513743598, 17/12/20 04:20:06,1513743606,8, 17/12/20 04:19:52,1513743592, 12g, 1G, 8.4GB, Job completed successfully, 17/12/20 04:22:39,1513743759, NA, NA,6,153, NA
application_1513303661803_19559_asrd.cp.big.data.services.team.log,1513677648, 17/12/19 10:00:53,1513677653,5, 17/12/19 10:00:45,1513677645, 512M, 512M, 143.6MB, Job completed successfully, 17/12/19 10:01:13,1513677673, NA, NA,3,20, NA
application_1513303661803_22371_asrd.cp.big.data.services.team.log,1513753284, 17/12/20 07:01:30,1513753290,6, 17/12/20 07:01:18,1513753278, 512M, 512M, 143.6MB, Job completed successfully, 17/12/20 07:01:48,1513753308, NA, NA,6,18, NA
application_1513303661803_18544_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_19241_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA, NA, NA, NA, NA, NA, NA, NA
application_1513303661803_26208_asrd.cp.big.data.services.team.log,1513871287, 17/12/21 15:48:16,1513871296,9, 17/12/21 15:48:00,1513871280, 12G, 1G, 8.4GB, Job completed successfully, 17/12/21 15:48:48,1513871328, NA, NA,7,32, NA
