S.No.,Log File,spark_driver_start_time, state_accept_epoch (s), state_running_time, state_running_epoch (s),Waiting Time (in Seconds),Driver Memory,Executor Memory,Memory Store Capacity,Job Result
1,application_1513303661803_25646_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 1983.0MB, NA
2,application_1513303661803_23926_asrd.cp.big.data.services.team.log,1513792320, 17/12/20 17:52:06,1513792326,6, 17/12/20 17:51:57, 12g, 6144M, 8.4GB, Job completed successfully
3,application_1513303661803_21767_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
4,application_1513303661803_24558_asrd.cp.big.data.services.team.log,1513814496, 17/12/21 00:01:41,1513814501,5, 17/12/21 00:01:33, 8G, 15G, 5.5GB, Job completed successfully
5,application_1513303661803_24282_asrd.cp.big.data.services.team.log,1513796697, 17/12/20 19:05:06,1513796706,9, 17/12/20 19:04:52, 12G, 16G, 8.4GB, Job completed successfully
6,application_1513303661803_21050_asrd.cp.big.data.services.team.log,1513730321, 17/12/20 00:38:46,1513730326,5, 17/12/20 00:38:37, 2G, 10G, 1247.6MB, Job completed successfully
7,application_1513303661803_19757_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
8,application_1513303661803_23378_asrd.cp.big.data.services.team.log,1513786280, 17/12/20 16:11:25,1513786285,5, 17/12/20 16:11:17, 12g, 10G, 8.4GB, Job completed successfully
9,application_1513303661803_23553_asrd.cp.big.data.services.team.log,1513787826, 17/12/20 16:37:11,1513787831,5, 17/12/20 16:37:03, 12g, 6144M, 8.4GB, Job completed successfully
10,application_1513303661803_25231_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
11,application_1513303661803_23835_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 7.0GB, NA
12,application_1513303661803_21508_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 511.5MB, NA
13,application_1513303661803_22336_asrd.cp.big.data.services.team.log,1513752875, 17/12/20 06:54:40,1513752880,5, 17/12/20 06:54:31, 15G, 10G, 10.6GB, Job completed successfully
14,application_1513303661803_26743_asrd.cp.big.data.services.team.log,1513901342, 17/12/22 00:09:39,1513901379,37, 17/12/22 00:08:42, 12g, 6144M, 8.4GB, Job completed successfully
15,application_1513303661803_28267_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
16,application_1513303661803_24239_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
17,application_1513303661803_20493_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
18,application_1513303661803_20007_asrd.cp.big.data.services.team.log,1513698756, 17/12/19 15:52:41,1513698761,5, 17/12/19 15:52:33, 12g, 10G, 8.4GB, Job completed successfully
19,application_1513303661803_20778_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, NA, NA
20,application_1513303661803_22727_asrd.cp.big.data.services.team.log,1513769226, 17/12/20 11:27:12,1513769232,6, 17/12/20 11:27:02, 12g, 10G, 8.4GB, Job completed successfully
21,application_1513303661803_19452_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 5.5GB, NA
22,application_1513303661803_24689_asrd.cp.big.data.services.team.log,1513815406, 17/12/21 00:16:57,1513815417,11, 17/12/21 00:16:41, 12g, 6144M, 8.4GB, Job completed successfully
23,application_1513303661803_19784_asrd.cp.big.data.services.team.log,1513692972, 17/12/19 14:17:14,1513693034,62, 17/12/19 14:15:58, 20G, 10G, 14.2GB, Job completed successfully
24,application_1513303661803_22577_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
25,application_1513303661803_18724_asrd.cp.big.data.services.team.log,1513646824, 17/12/19 01:30:47,1513647047,223, 17/12/19 01:26:59, 20G, 20G, 14.2GB, Job completed successfully
26,application_1513303661803_26077_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA
27,application_1513303661803_21034_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA
28,application_1513303661803_19685_asrd.cp.big.data.services.team.log,1513689087, 17/12/19 13:11:32,1513689092,5, 17/12/19 13:11:23, 12G, 10G, 8.4GB, Job failed
29,application_1513303661803_22543_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
30,application_1513303661803_23724_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
31,application_1513303661803_22190_asrd.cp.big.data.services.team.log,1513750728, 17/12/20 06:18:53,1513750733,5, 17/12/20 06:18:46, 12g, 6144M, 8.4GB, Job completed successfully
32,application_1513303661803_25727_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 143.6MB, NA
33,application_1513303661803_23529_asrd.cp.big.data.services.team.log,1513787414, 17/12/20 16:30:20,1513787420,6, 17/12/20 16:30:11, 12g, 6144M, 8.4GB, Job completed successfully
34,application_1513303661803_24873_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
35,application_1513303661803_24029_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
36,application_1513303661803_20359_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
37,application_1513303661803_24056_asrd.cp.big.data.services.team.log,1513793699, 17/12/20 18:15:05,1513793705,6, 17/12/20 18:14:56, 12g, 6144M, 8.4GB, Job completed successfully
38,application_1513303661803_18992_asrd.cp.big.data.services.team.log,1513651161, 17/12/19 02:39:27,1513651167,6, 17/12/19 02:39:17, 12g, 10G, 8.4GB, Job completed successfully
39,application_1513303661803_22851_asrd.cp.big.data.services.team.log,1513778467, 17/12/20 14:01:12,1513778472,5, 17/12/20 14:00:58, 512M, 512M, 143.6MB, Job completed successfully
40,application_1513303661803_24077_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 4.1GB, NA
41,application_1513303661803_24037_asrd.cp.big.data.services.team.log,NA, NA, NA, NA, NA, NA, NA, 2.7GB, NA
